timestamp,character,magic_find,item_id,currency_id,amount
2024-02-03T15:06:51.026Z,Paintball Partner,788,68636,,1
2024-02-03T15:06:51.026Z,Paintball Partner,788,68638,,20
2024-02-03T15:06:51.026Z,Paintball Partner,788,94653,,-15
2024-02-03T15:06:51.026Z,Paintball Partner,788,101398,,1
2024-02-03T15:06:50.508Z,Paintball Partner,788,68637,,1
2024-02-03T15:06:50.508Z,Paintball Partner,788,68638,,5
2024-02-03T15:06:50.508Z,Paintball Partner,788,94653,,-6
2024-02-03T15:06:50.317Z,Paintball Partner,788,68638,,3
2024-02-03T15:06:50.317Z,Paintball Partner,788,94653,,-3
2024-02-03T15:06:50.214Z,Paintball Partner,788,68633,,1
2024-02-03T15:06:50.214Z,Paintball Partner,788,68638,,2
2024-02-03T15:06:50.214Z,Paintball Partner,788,94653,,-4
2024-02-03T15:06:50.214Z,Paintball Partner,788,101398,,1
2024-02-03T15:06:50.096Z,Paintball Partner,788,68638,,10
2024-02-03T15:06:50.096Z,Paintball Partner,788,94653,,-10
2024-02-03T15:06:49.828Z,Paintball Partner,788,68638,,1
2024-02-03T15:06:49.828Z,Paintball Partner,788,94653,,-1
2024-02-03T15:06:49.827Z,Paintball Partner,788,68637,,1
2024-02-03T15:06:49.827Z,Paintball Partner,788,68638,,5
2024-02-03T15:06:49.827Z,Paintball Partner,788,94653,,-5
2024-02-03T15:06:49.602Z,Paintball Partner,788,68637,,1
2024-02-03T15:06:49.602Z,Paintball Partner,788,68638,,14
2024-02-03T15:06:49.602Z,Paintball Partner,788,94653,,-15
2024-02-03T15:06:49.128Z,Paintball Partner,788,68638,,1
2024-02-03T15:06:49.128Z,Paintball Partner,788,94653,,-1
2024-02-03T15:06:49.090Z,Paintball Partner,788,68636,,1
2024-02-03T15:06:49.090Z,Paintball Partner,788,68637,,1
2024-02-03T15:06:49.090Z,Paintball Partner,788,68638,,14
2024-02-03T15:06:49.090Z,Paintball Partner,788,77699,,1
2024-02-03T15:06:49.090Z,Paintball Partner,788,94653,,-18
2024-02-03T15:06:49.090Z,Paintball Partner,788,101398,,1
2024-02-03T15:06:48.522Z,Paintball Partner,788,68638,,2
2024-02-03T15:06:48.522Z,Paintball Partner,788,94653,,-2
2024-02-03T15:06:48.472Z,Paintball Partner,788,68638,,14
2024-02-03T15:06:48.472Z,Paintball Partner,788,94653,,-10
2024-02-03T15:06:48.472Z,Paintball Partner,788,101398,,1
2024-02-03T15:06:48.081Z,Paintball Partner,788,68632,,1
2024-02-03T15:06:48.081Z,Paintball Partner,788,68634,,1
2024-02-03T15:06:48.081Z,Paintball Partner,788,68635,,3
2024-02-03T15:06:48.081Z,Paintball Partner,788,68636,,2
2024-02-03T15:06:48.081Z,Paintball Partner,788,68638,,140
2024-02-03T15:06:48.081Z,Paintball Partner,788,77699,,1
2024-02-03T15:06:48.081Z,Paintball Partner,788,94653,,-124
2024-02-03T15:06:48.081Z,Paintball Partner,788,101398,,3
2024-02-03T15:06:45.794Z,Paintball Partner,788,68638,,3
2024-02-03T15:06:45.794Z,Paintball Partner,788,94653,,-3
2024-02-03T15:06:45.555Z,Paintball Partner,788,68638,,14
2024-02-03T15:06:45.555Z,Paintball Partner,788,94653,,-2
2024-02-03T15:06:45.516Z,Paintball Partner,788,68637,,1
2024-02-03T15:06:45.516Z,Paintball Partner,788,68638,,1
2024-02-03T15:06:45.516Z,Paintball Partner,788,94653,,-2
